Name,Brewery,ABV,Price,Description,Address,Availability,Type
Atco Coffee Razz Gose,Atco Brewing Company,,,,,,Pilzner
Atco DIPcit,Atco Brewing Company,9.4,,,,,
Atco Extra Irish Dry Stout,Atco Brewing Company,,,,,,Stout
Atco IPA (AI),Atco Brewing Company,,,,,,IPA
Atco Piney Pale Ale,Atco Brewing Company,6,,,,,Pale Ale
Atco Summer Gose,Atco Brewing Company,,,,,,Pilsner
Atco Swellhead,Atco Brewing Company,8.4,,,,,Double IPA
Bamber Brown,Backward Flag Brewing Co.,5.1,,,,,Craft Beer
Yellow Ribbon Golden Ale,Backward Flag Brewing Co.,4.9,,,,,Golden Ale
Baymen's Brew Stout,Backward Flag Brewing Co.,5.1,,,,,Standard Coffee Stout
Lil R&R Blonde Ale,Backward Flag Brewing Co.,5.6,,,,,Blonde Ale
X-626 Oaked Ale,Backward Flag Brewing Co.,7,,,,,Craft Beer
Raisin Bread,Backward Flag Brewing Co.,7,,,,,
Desert Rose,Backward Flag Brewing Co.,,,,,,Craft Beer Brewed with roses
RuckSack Rye IPA,Backward Flag Brewing Co.,,,,,,IPA
Spiced Peach,Backward Flag Brewing Co.,,,,,,Spiced Ale
Forked River Mt Stout,Backward Flag Brewing Co.,,,,,,Stout
Irish Red,Belford Brewing Company,,,," 84 Leonardville Road, Belford, NJ",,Irish Red
Lobster Pot,Belford Brewing Company,,,," 84 Leonardville Road, Belford, NJ",,Brown Ale
Hefeweizen Bavarian Style Wheat,Belford Brewing Company,5.4,,," 84 Leonardville Road, Belford, NJ",,Hefeweizen
Parade Day Irish Coffee Stout,Beach Hous Beer,6.75,,,"801 Main St, Belmar, NJ 07719",,Stout
Winter Rental Black Lager,Beach Hous Beer,5.2,,,"801 Main St, Belmar, NJ 07719",,Lager
Beach Haus Classic American Pilsner,Beach Hous Beer,5.6,,,"801 Main St, Belmar, NJ 07719",,Pilsner
HOPBAHN DOUBLE IPA,Beach Hous Beer,8.7,,,"801 Main St, Belmar, NJ 07719",,IPA
Station 2 Station Porter,Beach Hous Beer,6.8,,,"801 Main St, Belmar, NJ 07719",,Porter
High Side Blonde Ale,Beach Hous Beer,6,,,"801 Main St, Belmar, NJ 07719",,Blonde Ale
Jersey Devil Double IPA,Brotherton Brewing Company,8.4,,,"Shamong, NJ 08088",,Double IPA
Brotherton IPA,Brotherton Brewing Company,6.6,,,"Shamong, NJ 08088",,IPA
Brotherton Pale Ale,Brotherton Brewing Company,5.2,,,"Shamong, NJ 08088",,Pale Ale
Swarthy Invader,Brotherton Brewing Company,9.6,,,"Shamong, NJ 08088",,Stout
Imperial Oatmeal Porter,Brotherton Brewing Company,7.2,,,"Shamong, NJ 08088",,Porter
Moonless Night,Brotherton Brewing Company,7.2,,,"Shamong, NJ 08088",,IPA
Bluer Than Velvet,Brotherton Brewing Company,9.6,,,"Shamong, NJ 08088",,Stout
Now It's Dark,Brotherton Brewing Company,9.6,,,"Shamong, NJ 08088",,Stout
Drip Down IPA,Brotherton Brewing Company,7,,,"Shamong, NJ 08088",,IPA
Green Earth American Pale Ale,Brotherton Brewing Company,5.6,,,"Shamong, NJ 08088",,Pale Ale
